Nombre,Tipo,Cantidad de libros,Cantidad de artículos,Cantidad de usuarios,Cantidad de proyectos,Cantidad de repositorios,Total
Vue,framework,0,0,298982,0,875562.0,1174544.0
Ruby on Rails,framework,1,0,197225,6343,0.0,203569.0
Yes It Is,framework,0,0,35526,0,0.0,35526.0
emberjs-framework,framework,0,0,35078,0,0.0,35078.0
Manim,framework,0,0,23655,0,0.0,23655.0
Qt,framework,5,0,4171,0,0.0,4176.0
Laravel,framework,0,0,3625,0,0.0,3625.0
Flutter,framework,0,0,2690,0,0.0,2690.0
reflex-framework,framework,0,0,1424,0,0.0,1424.0
Swagger,framework,0,0,1256,0,0.0,1256.0
