Nombre,Tipo,Cantidad de libros,Cantidad de artículos,Cantidad de usuarios,Cantidad de proyectos,Cantidad de repositorios,Total
JQuery,library,2,0,1673580,24780,0.0,1698362.0
TensorFlow,library,1,0,435167,721,0.0,435889.0
D3.js,library,0,0,172549,0,0.0,172549.0
React Native,library,1,0,170206,0,0.0,170207.0
Scikit-learn,library,0,0,121955,0,0.0,121955.0
Keras,library,0,0,115390,0,0.0,115390.0
PyTorch,library,0,0,107673,0,0.0,107673.0
Matplotlib,library,6,0,36109,0,0.0,36115.0
mochajs,library,0,0,30323,0,0.0,30323.0
highlight.js,library,0,0,30285,0,0.0,30285.0
