Nombre,Tipo,Cantidad de libros,Cantidad de artículos,Cantidad de usuarios,Cantidad de proyectos,Cantidad de repositorios,Total
JavaScript,pl,351,48,5962666,63993,16046489.0,22073547.0
HTML,textMarkup,116,7,5570873,69531,12648584.0,18289111.0
Java,pl,401,37,5579429,85206,11529980.0,17195053.0
Python,pl,342,52,2949551,46976,9300725.0,12297646.0
SQL,queryLanguage,182,37,7179119,219617,1222.0,7400177.0
CSS,stylesheetLanguage,102,2,2881846,45617,4446834.0,7374401.0
C++,pl,128,6,4128238,61098,2161625.0,6351095.0
C,pl,78,19,3793768,59919,2160271.0,6014055.0
PHP,pl,274,26,2356101,30349,3479326.0,5866076.0
TypeScript,pl,56,8,216959,1542,3281749.0,3500314.0
Linux,os,2,0,3229009,32007,0.0,3261018.0
Pure Data,pl,0,0,706,0,3084650.0,3085356.0
Ruby,pl,65,13,393813,11438,2659551.0,3064880.0
MATLAB,pl,177,35,2661579,32228,311901.0,3005920.0
MySQL,queryLanguage,168,16,2608362,47466,0.0,2656012.0
C#,pl,3,0,217261,19747,2161625.0,2398636.0
XML,dataNotation,151,37,1917452,42277,3258.0,1963175.0
R,pl,40,9,1075613,14173,689533.0,1779368.0
Go,pl,5,26,684460,6403,1083789.0,1774683.0
JQuery,library,2,0,1673580,24780,0.0,1698362.0
Bash,pl,33,1,61747,4774,1579442.0,1645997.0
TI Program,assembly,0,0,0,0,1586478.0,1586478.0
Swift,pl,125,19,362590,3754,1044892.0,1411380.0
WordPress,application,3,0,1350482,14952,0.0,1365437.0
Vue,framework,0,0,298982,0,875562.0,1174544.0
Inform,pl,2,5,586,0,1046854.0,1047447.0
Kotlin,pl,99,16,130094,5276,901474.0,1036959.0
Android,os,2,0,975958,9263,0.0,985223.0
SPSS,pl,14,5,965674,9587,0.0,975280.0
Visual Basic .NET,pl,0,0,5691,3447,935363.0,944501.0
Git,application,0,0,834967,7032,0.0,841999.0
HTTP,protocol,12,2,33780,771996,0.0,805790.0
Dart,pl,30,6,38325,208,737948.0,776517.0
