Año,Apache Hive,CouchBase,CouchDB,DB2,dBase,DynamoDB,Elasticsearch,FileMaker,Firebase,Firebird,Hbase,Informix,Ingres,MariaDB,Memcached,Microsoft Access,MongoDB,MySQL,Neo4j,Netezza,Oracle,PostgreSQL,Redis,Riak,SAP HANA,Solr,Splunk,SQLite,SQL Server,Sybase,Teradata
2013,0.0023,0.0007,0.0017,0.0226,0.0011,0.0005,0.0014,0.0122,0.0004,0.0078,0.0026,0.003,0.0024,0.0007,0.0028,0.1326,0.0118,0.2094,0.0011,0.0015,0.339,0.0218,0.0053,0.0011,0.0025,0.0062,0.0048,0.0189,0.1647,0.0096,0.0075
2014,0.0037,0.0011,0.0016,0.021,0.001,0.0007,0.0039,0.0116,0.0009,0.0072,0.003,0.0027,0.0023,0.0025,0.0028,0.1233,0.0168,0.2079,0.0017,0.0015,0.3338,0.024,0.0073,0.0013,0.0038,0.0068,0.0067,0.0198,0.1631,0.0085,0.0078
2015,0.0058,0.0015,0.0014,0.0203,0.0009,0.0011,0.0086,0.0102,0.0019,0.0071,0.003,0.0024,0.0025,0.0032,0.0025,0.1181,0.0213,0.2017,0.002,0.0017,0.3282,0.0256,0.0088,0.0012,0.0051,0.0068,0.009,0.0197,0.1618,0.0074,0.009
2016,0.0083,0.0018,0.0014,0.0191,0.0008,0.0019,0.0124,0.0091,0.0031,0.0065,0.0035,0.0022,0.0027,0.0046,0.0023,0.1101,0.0258,0.1986,0.0023,0.0017,0.3212,0.0279,0.0115,0.0011,0.0073,0.007,0.0115,0.0199,0.1581,0.0068,0.0095
2017,0.0108,0.002,0.0014,0.0189,0.0007,0.0034,0.0186,0.009,0.0152,0.0053,0.0041,0.0021,0.0027,0.0066,0.0022,0.1032,0.0291,0.1976,0.0029,0.0017,0.3015,0.0316,0.0152,0.0011,0.0088,0.0073,0.0154,0.0199,0.1465,0.0063,0.0089
2018,0.0129,0.0019,0.0014,0.0172,0.0007,0.005,0.0222,0.0081,0.0244,0.0049,0.0039,0.0018,0.0024,0.0085,0.0021,0.0948,0.0331,0.1913,0.0034,0.0015,0.2927,0.0349,0.0172,0.0009,0.0093,0.0068,0.0189,0.0188,0.1447,0.0056,0.0087
2019,0.0145,0.0018,0.0011,0.016,0.0008,0.0068,0.0246,0.0074,0.029,0.0045,0.0039,0.0017,0.0024,0.0094,0.0019,0.0872,0.0364,0.1859,0.0038,0.0014,0.2914,0.0382,0.0206,0.0009,0.0097,0.006,0.023,0.0173,0.1388,0.0049,0.0088
2020,0.0137,0.0017,0.001,0.0149,0.0006,0.0081,0.0269,0.0064,0.0325,0.0042,0.0031,0.0015,0.0024,0.0106,0.0016,0.0836,0.0419,0.1797,0.0041,0.0012,0.2887,0.0443,0.022,0.0009,0.01,0.0055,0.0263,0.0171,0.1412,0.0042,0.0
2021,0.0125,0.0016,0.0008,0.0145,0.0007,0.0088,0.0241,0.006,0.0374,0.0043,0.0026,0.0013,0.0031,0.0122,0.0015,0.0871,0.0427,0.1684,0.0041,0.0011,0.2988,0.0474,0.0225,0.0012,0.0101,0.0047,0.028,0.0172,0.1314,0.004,0.0
2022,0.0131,0.0017,0.0007,0.0137,0.0006,0.0084,0.0218,0.0052,0.0319,0.0025,0.0023,0.0011,0.0028,0.0126,0.001,0.0802,0.0516,0.1627,0.0036,0.0008,0.3066,0.0482,0.0234,0.0012,0.0119,0.0047,0.0274,0.0166,0.1383,0.0034,0.0
2023,0.0102,0.0017,0.0007,0.0099,0.0005,0.0119,0.0232,0.0043,0.0465,0.0028,0.0019,0.0011,0.0027,0.0135,0.0014,0.063,0.0594,0.1924,0.0049,0.0006,0.2686,0.0643,0.0305,0.0012,0.0092,0.0042,0.0245,0.0194,0.123,0.0026,0.0
