Nombre,Tipo,Cantidad de libros,Cantidad de artículos,Cantidad de usuarios,Cantidad de proyectos,Cantidad de repositorios,Total
WordPress,application,3,0,1350482,14952,0.0,1365437.0
Git,application,0,0,834967,7032,0.0,841999.0
SubRip Text,application,0,0,200,0,521758.0,521958.0
Wavefront Object,application,0,0,2980,0,331144.0,334124.0
MongoDB,application,2,0,318335,3787,0.0,322124.0
Kubernetes,application,0,0,219846,0,0.0,219846.0
Wavefront Material,application,0,0,200,0,216089.0,216289.0
Redis,application,0,0,182783,591,0.0,183374.0
Drupal,application,1,0,168605,1642,0.0,170248.0
Unity3D Asset,application,0,0,200,0,81061.0,81261.0
