Nombre,Tipo,Cantidad de libros,Cantidad de artículos,Cantidad de usuarios,Cantidad de proyectos,Cantidad de repositorios,Total
JavaScript,pl,351,48,5962666,63993,16046489.0,22073547.0
Java,pl,401,37,5579429,85206,11529980.0,17195053.0
Python,pl,342,52,2949551,46976,9300725.0,12297646.0
C++,pl,128,6,4128238,61098,2161625.0,6351095.0
C,pl,78,19,3793768,59919,2160271.0,6014055.0
PHP,pl,274,26,2356101,30349,3479326.0,5866076.0
TypeScript,pl,56,8,216959,1542,3281749.0,3500314.0
Pure Data,pl,0,0,706,0,3084650.0,3085356.0
Ruby,pl,65,13,393813,11438,2659551.0,3064880.0
MATLAB,pl,177,35,2661579,32228,311901.0,3005920.0
