Posición,Cambio,Lenguaje,Calificación(%),Cambio respecto a 1 año atrás(%)
1,,Python,31.47,+1.9 %
2,,Java,15.22,-0.2 %
3,,JavaScript,7.65,-0.7 %
4,↑,C/C++,7.05,+0.8 %
5,↓,C#,5.81,-0.9 %
6,,R,4.88,+0.3 %
7,,PHP,3.55,-0.8 %
8,,TypeScript,2.76,-0.2 %
9,↑↑,Objective-C,2.76,+0.4 %
10,,Rust,2.72,+0.1 %
11,↓↓,Swift,2.19,-0.5 %
12,,Go,1.92,-0.2 %
13,↑↑↑↑↑↑,Ada,1.65,+0.7 %
14,↓,Kotlin,1.59,-0.3 %
15,↓,Matlab,1.57,+0.1 %
16,,Powershell,1.03,+0.0 %
17,↑,Ruby,0.95,+0.0 %
18,↓↓↓,VBA,0.95,-0.1 %
19,↓↓,Dart,0.89,-0.1 %
20,,Lua,0.89,+0.1 %
21,↑,Abap,0.69,+0.1 %
22,↓,Scala,0.45,-0.2 %
23,↑,Julia,0.32,+0.0 %
24,↑↑,Zig,0.26,+0.1 %
25,↓↓,Visual Basic,0.25,-0.2 %
26,↑,Cobol,0.19,+0.0 %
27,↓↓,Groovy,0.15,-0.1 %
28,↑,Haskell,0.11,+0.0 %
29,↓,Perl,0.05,-0.1 %
30,,Delphi/Pascal,0.01,-0.0 %
1,,Python,31.47,+1.9 %
2,,Java,15.22,-0.2 %
3,,JavaScript,7.65,-0.7 %
4,↑,C/C++,7.05,+0.8 %
5,↓,C#,5.81,-0.9 %
6,,R,4.88,+0.3 %
7,,PHP,3.55,-0.8 %
8,,TypeScript,2.76,-0.2 %
9,↑↑,Objective-C,2.76,+0.4 %
10,,Rust,2.72,+0.1 %
11,↓↓,Swift,2.19,-0.5 %
12,,Go,1.92,-0.2 %
13,↑↑↑↑↑↑,Ada,1.65,+0.7 %
14,↓,Kotlin,1.59,-0.3 %
15,↓,Matlab,1.57,+0.1 %
16,,Powershell,1.03,+0.0 %
17,↑,Ruby,0.95,+0.0 %
18,↓↓↓,VBA,0.95,-0.1 %
19,↓↓,Dart,0.89,-0.1 %
20,,Lua,0.89,+0.1 %
21,↑,Abap,0.69,+0.1 %
22,↓,Scala,0.45,-0.2 %
23,↑,Julia,0.32,+0.0 %
24,↑↑,Zig,0.26,+0.1 %
25,↓↓,Visual Basic,0.25,-0.2 %
26,↑,Cobol,0.19,+0.0 %
27,↓↓,Groovy,0.15,-0.1 %
28,↑,Haskell,0.11,+0.0 %
29,↓,Perl,0.05,-0.1 %
30,,Delphi/Pascal,0.01,-0.0 %
