DATE,C,Java,Python,C++,C#,Visual Basic,JavaScript,PHP,R,SQL,Go,Swift,Perl,Assembly Language,Ruby,MATLAB,Groovy,Rust,Objective-C,Dart,Classic Visual Basic,PL/SQL,Delphi/Object Pascal,Transact-SQL,Fortran,Prolog,Lua,Scratch,COBOL,Julia,Kotlin
2013",17.85,17.42,4.17,9.14,6.20,1.04,1.98,5.55,0.44,,0.12,,2.26,0.63,1.77,0.64,0.14,0.01,10.28,0.07,,0.58,0.92,0.58,0.46,0.36,0.63,0.19,0.50,,
2014",17.94,16.52,2.37,7.56,5.85,1.56,1.58,4.61,0.25,,0.32,,0.92,0.49,1.06,0.77,0.20,0.02,11.10,0.04,,0.63,0.60,1.56,0.41,0.22,0.37,0.20,0.46,0.04,
2015",16.70,15.53,2.61,6.70,5.05,1.07,3.27,3.78,1.04,,0.10,0.75,2.26,1.17,1.13,1.39,0.11,0.04,6.95,0.51,1.07,2.01,0.84,0.87,0.27,0.28,0.65,0.38,1.27,0.06,
2016",16.04,21.47,3.85,6.91,4.71,2.58,2.57,2.71,1.05,,0.16,1.36,1.84,2.09,2.05,1.23,1.18,0.19,1.07,0.77,1.68,1.02,1.79,0.44,0.85,0.49,0.52,0.57,0.87,0.10,
2017",9.35,17.28,3.46,6.30,4.04,2.96,2.85,2.56,1.79,,2.33,1.93,2.75,2.70,2.55,1.58,0.87,0.31,1.62,1.72,1.91,1.54,2.56,0.58,0.74,0.69,0.74,1.16,1.03,0.18,0.09
2018",11.04,14.22,4.68,5.60,3.75,3.26,3.47,2.53,2.55,,1.57,2.38,2.42,2.06,2.41,1.65,0.26,0.23,1.86,1.43,2.31,1.43,2.38,0.50,0.43,0.30,0.62,1.74,0.80,0.23,0.31
2019",13.34,16.90,8.29,8.16,3.28,6.46,3.30,2.68,1.33,2.28,1.12,1.19,1.22,1.20,1.10,1.50,1.02,0.36,1.78,0.76,1.03,1.07,1.10,0.34,0.44,0.32,0.40,0.67,0.49,0.30,0.38
2020",15.77,16.90,9.70,5.57,5.35,5.29,2.45,2.41,0.81,1.50,0.90,1.80,0.75,0.88,1.06,0.74,0.61,0.39,0.93,0.63,0.83,0.57,1.00,0.41,0.31,0.18,0.23,0.49,0.38,0.18,0.29
2021",17.38,11.96,11.72,7.56,3.95,3.84,2.20,1.99,1.90,1.61,1.41,1.43,1.02,1.64,1.30,1.15,1.84,0.61,1.00,0.62,0.79,0.74,0.79,0.40,0.46,0.48,0.37,0.71,0.42,0.73,0.34
2022",12.44,10.66,13.58,8.29,5.68,4.74,2.09,1.40,1.25,1.80,1.04,1.41,0.71,1.85,0.88,0.96,0.94,0.50,0.58,0.27,0.98,0.35,0.99,0.17,0.77,0.48,0.37,0.59,0.51,0.39,0.37
2023",15.39,13.21,15.49,13.94,6.38,4.14,2.52,1.29,1.08,2.12,1.11,0.93,0.79,1.38,0.83,0.99,0.37,0.70,0.48,0.24,0.74,0.32,0.95,0.49,0.58,0.19,0.53,0.76,0.41,0.29,0.31
