Posición,Cambio,DB,% de popularidad,% respecto a 2022
1,-,Oracle,28.01,+1.0
2,-,MySQL,17.87,-1.4
3,-,SQL Server,12.28,-0.0
4,-,PostgreSQL,6.82,+0.6
5,↑,MongoDB,6.11,+0.2
6,↓,Microsoft Access,5.71,-0.5
7,-,Firebase,5.05,+0.3
8,-,Redis,3.13,+0.1
9,-,Splunk,2.73,+0.3
10,-,Elasticsearch,2.07,-0.3
11,-,SQLite,1.91,-0.0
12,-,MariaDB,1.4,+0.0
13,-,DynamoDB,1.17,-0.0
14,↑↑,SAP HANA,1.04,+0.1
15,↓,DB2,1.01,-0.0
16,↓,Apache Hive,0.75,-0.3
17,-,Neo4j,0.48,-0.0
18,↑,Soir,0.43,-0.0
19,↓,FileMaker,0.43,-0.0
20,↑,Ingres,0.27,+0.0
21,↑,Sybase,0.25,-0.0
22,↓↓,Firebird,0.22,-0.1
23,-,Hbase,0.16,-0.0
24,-,CouchBase,0.16,-0.0
25,-,Memcached,0.14,-0.0
26,-,Riak,0.12,+0.0
27,-,Informix,0.11,+0.0
28,-,CouchDB,0.07,-0.0
29,-,Netezza,0.05,-0.0
30,-,dBase,0.05,-0.0
