Posición,Cambio,Lenguaje,% de popularidad,% respecto a 2022
1,-,Python,28.05,+0.1
2,-,Java,15.88,-1.0
3,-,Javascript,9.27,-0.3
4,-,C#,6.79,-0.2
5,-,C/C++,6.59,+0.3
6,-,PHP,4.86,-0.4
7,-,R,4.45,+0.4
8,-,TypeScript,2.93,+0.1
9,↑↑,Swift,2.69,+0.7
10,↓,Objetive-C,2.29,+0.2
11,↑↑,Rust,2.05,+0.4
12,↓↓,Go,1.95,-0.1
13,↓,Kotlin,1.76,-0.1
14,-,Matlab,1.53,+0.1
15,-,Ruby,1.04,-0.1
16,↑↑↑,Ada,1.04,+0.2
17,↓,VBA,0.94,-0.1
18,-,Dart,0.9,+0.1
19,↓↓,Powershell,0.89,-0.0
20,-,Scala,0.69,-0.0
21,-,Visual Basic,0.64,+0.0
22,-,Lua,0.6,+0.0
23,-,Abap,0.6,+0.1
24,↑,Julia,0.33,-0.1
25,↓,Groovy,0.33,-0.1
26,↑,Cobol,0.25,-0.1
27,↑,Haskell,0.25,-0.0
28,↓↓,Perl,0.23,-0.1
29,-,Delphi/Pascal,0.17,+0.2
